date,exp_day,amount,species,salinity,treatment,room,sediment,csum,sr
20210904,11,0,RP,30,C,310,muddy,0,1
20210904,11,0,RP,30,H,319,muddy,0,1
20210905,12,0,RP,30,C,310,muddy,0,1
20210905,12,0,RP,30,H,319,muddy,0,1
20210906,13,0,RP,30,C,310,muddy,0,1
20210906,13,0,RP,30,H,319,muddy,0,1
20210907,14,0,RP,30,C,310,muddy,0,1
20210907,14,0,RP,30,H,319,muddy,0,1
20210908,15,0,RP,30,C,310,muddy,0,1
20210908,15,0,RP,30,H,319,muddy,0,1
20210909,16,0,RP,30,C,310,muddy,0,1
20210909,16,0,RP,30,H,319,muddy,0,1
20210910,17,0,RP,30,C,310,muddy,0,1
20210910,17,0,RP,30,H,319,muddy,0,1
20210911,18,0,RP,30,C,310,muddy,0,1
20210911,18,0,RP,30,H,319,muddy,0,1
20210912,19,0,RP,30,C,310,muddy,0,1
20210912,19,0,RP,30,H,319,muddy,0,1
20210913,20,0,RP,30,C,310,muddy,0,1
20210913,20,0,RP,30,H,319,muddy,0,1
20210914,21,0,RP,30,C,310,muddy,0,1
20210914,21,0,RP,30,H,319,muddy,0,1
20210915,22,0,RP,30,C,310,muddy,0,1
20210915,22,0,RP,30,H,319,muddy,0,1
20210916,23,0,RP,30,C,310,muddy,0,1
20210916,23,0,RP,30,H,319,muddy,0,1
20210917,24,0,RP,30,C,310,muddy,0,1
20210917,24,0,RP,30,H,319,muddy,0,1
20210918,25,0,RP,30,C,310,muddy,0,1
20210918,25,0,RP,30,H,319,muddy,0,1
20210825,1,0,RP,30,C,310,sandy,0,1
20210825,1,0,RP,30,H,319,sandy,0,1
20210826,2,0,RP,30,C,310,sandy,0,1
20210826,2,0,RP,30,H,319,sandy,0,1
20210827,3,0,RP,30,C,310,sandy,0,1
20210827,3,0,RP,30,H,319,sandy,0,1
20210828,4,0,RP,30,C,310,sandy,0,1
20210828,4,0,RP,30,H,319,sandy,0,1
20210829,5,0,RP,30,C,310,sandy,0,1
20210829,5,0,RP,30,H,319,sandy,0,1
20210830,6,0,RP,30,C,310,sandy,0,1
20210830,6,0,RP,30,H,319,sandy,0,1
20210831,7,0,RP,30,C,310,sandy,0,1
20210831,7,0,RP,30,H,319,sandy,0,1
20210901,8,0,RP,30,C,310,sandy,0,1
20210901,8,0,RP,30,H,319,sandy,0,1
20210902,9,0,RP,30,C,310,sandy,0,1
20210902,9,0,RP,30,H,319,sandy,0,1
20210903,10,0,RP,30,C,310,sandy,0,1
20210903,10,0,RP,30,H,319,sandy,0,1
20210904,11,0,RP,30,C,310,sandy,0,1
20210904,11,0,RP,30,H,319,sandy,0,1
20210905,12,0,RP,30,C,310,sandy,0,1
20210905,12,0,RP,30,H,319,sandy,0,1
20210906,13,0,RP,30,C,310,sandy,0,1
20210906,13,0,RP,30,H,319,sandy,0,1
20210907,14,0,RP,30,C,310,sandy,0,1
20210907,14,0,RP,30,H,319,sandy,0,1
20210908,15,0,RP,30,C,310,sandy,0,1
20210908,15,0,RP,30,H,319,sandy,0,1
20210909,16,0,RP,30,C,310,sandy,0,1
20210909,16,0,RP,30,H,319,sandy,0,1
20210910,17,0,RP,30,C,310,sandy,0,1
20210910,17,0,RP,30,H,319,sandy,0,1
20210911,18,0,RP,30,C,310,sandy,0,1
20210911,18,0,RP,30,H,319,sandy,0,1
20210912,19,0,RP,30,C,310,sandy,0,1
20210912,19,0,RP,30,H,319,sandy,0,1
20210913,20,0,RP,30,C,310,sandy,0,1
20210913,20,0,RP,30,H,319,sandy,0,1
20210914,21,0,RP,30,C,310,sandy,0,1
20210914,21,0,RP,30,H,319,sandy,0,1
20210915,22,0,RP,30,C,310,sandy,0,1
20210915,22,0,RP,30,H,319,sandy,0,1
20210916,23,0,RP,30,C,310,sandy,0,1
20210916,23,0,RP,30,H,319,sandy,0,1
20210917,24,0,RP,30,C,310,sandy,0,1
20210917,24,0,RP,30,H,319,sandy,0,1
20210918,25,0,RP,30,C,310,sandy,0,1
20210918,25,0,RP,30,H,319,sandy,0,1
20210825,1,0,CE,5,C,310,muddy,0,1
20210825,1,0,CE,5,H,319,muddy,0,1
